"Назва","Чистий процентний дохід/(Чисті процентні витрати)","Усього власного капіталу","Кошти клієнтів","Кредити та заборгованість клієнтів","Загальні активи, усього"
"АТ ""ПУМБ""","3,882,568","8,414,840","40,058,582","21,178,221","60,236,875"
"Акціонерний банк ""Південний""","906,628","2,765,915","18,370,076","8,641,127","26,941,360"
"АТ ""ТАСКОМБАНК""","993,742","2,456,601","13,984,529","7,540,315","19,145,218"
"АТ ""УНІВЕРСАЛ БАНК""","802,490","1,678,194","11,067,123","6,634,501","15,578,281"
"АТ ""БАНК КРЕДИТ ДНІПРО""","143,899","1,059,475","7,640,009","2,279,559","11,784,148"
"ПАТ ""БАНК ВОСТОК""","477,381","832,966","7,941,759","3,341,177","10,249,157"
"АТ ""МЕГАБАНК""","96,981","952,600","6,693,118","3,064,683","9,982,621"
"АТ ""А - БАНК""","984,995","913,647","4,489,639","4,282,130","7,053,838"
"ПАТ ""МТБ БАНК""","209,499","739,118","4,186,525","1,426,969","5,594,984"
"АКБ ""ІНДУСТРІАЛБАНК""","245,794","1,289,904","2,772,685","1,308,332","4,644,919"
"АТ ""БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ""","105,326","550,845","3,145,934","1,253,183","4,215,632"
"АТ ""МІБ""","111,624","398,835","2,079,018","1,039,975","3,928,696"
"АТ ""КБ ""ГЛОБУС""","105,056","333,804","2,240,313","1,692,327","3,213,370"
"АТ ""БАНК АЛЬЯНС""","115,165","449,617","2,410,501","1,334,725","3,069,186"
"АТ АКБ ""Львів""","86,603","351,852","1,939,530","1,003,730","2,933,957"
"ПуАТ ""КБ ""АКОРДБАНК""","98,755","262,026","2,253,159","725,597","2,703,547"
"АБ ""КЛІРИНГОВИЙ ДІМ""","87,570","556,198","1,326,577","463,316","2,593,556"
"АТ ""Полтава-банк""","118,761","759,954","1,552,320","997,162","2,489,323"
"АТ АКБ ""АРКАДА""","17,668","946,329","939,994","731,966","2,316,730"
"АТ ""Місто Банк""","-23,244","214,920","1,074,457","261,158","2,143,012"
"АТ ""ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК""","81,529","317,108","1,613,958","358,157","2,086,497"
"АТ ""КРИСТАЛБАНК""","98,428","281,427","1,430,409","379,489","1,841,598"
"АТ ""АБ ""РАДАБАНК""","105,973","302,992","1,206,340","805,469","1,784,388"
"АТ ""БАНК ""ГРАНТ""","99,456","556,678","879,865","717,415","1,508,354"
"АТ ""БАНК АВАНГАРД""","63,927","332,057","644,387","110,808","1,465,113"
"АТ ""АКБ ""КОНКОРД""","58,982","246,868","1,005,024","536,589","1,453,398"
"АТ ""КОМІНВЕСТБАНК""","28,247","302,946","886,733","231,354","1,307,322"
"АТ ""БАНК СІЧ""","22,733","221,261","1,045,824","351,662","1,305,665"
"АТ ""КІБ""","68,180","240,136","929,691","663,472","1,229,053"
"АТ ""МОТОР-БАНК""","62,887","329,742","724,054","392,591","1,093,023"
"АТ ""УКРБУДІНВЕСТБАНК""","40,202","223,636","772,263","388,023","1,088,730"
"АТ ""АП БАНК""","75,507","341,484","464,001","525,075","1,063,402"
"АТ ""РВС БАНК"" *","13,508","292,832","663,256","151,232","1,049,737"
"ПАТ ""БАНК ""УКРАЇНСЬКИЙ КАПІТАЛ""","25,991","257,430","623,140","241,503","978,687"
"АТ ""ЮНЕКС БАНК""","79,926","262,598","518,640","233,240","969,219"
"АТ ""БАНК 3/4""","66,977","507,717","175,620","297,614","943,783"
"АТ ""МетаБанк""","45,325","303,640","577,703","362,496","925,064"
"АТ ""АСВІО БАНК""","67,436","452,333","362,969","373,446","897,297"
"АТ ""АЙБОКС БАНК""","45,465","230,729","427,522","331,604","793,059"
"АТ ""ЄПБ""","49,011","246,981","404,358","322,119","773,192"
"Полікомбанк","29,394","263,780","397,795","308,538","742,188"
"АТ ""КБ ""ЗЕМЕЛЬНИЙ КАПІТАЛ""","47,613","256,926","454,302","490,308","731,218"
"АТ ""АЛЬТБАНК""","37,121","238,196","355,995","121,692","615,700"
"АТ ""СКАЙ БАНК""","8,118","167,993","283,643","153,135","578,051"
"АТ ""ОКСІ БАНК""","14,648","206,529","233,233","68,463","482,702"
"ПрАТ ""БАНК ФАМІЛЬНИЙ""","22,330","201,210","36,820","3,376","377,780"
"АТ ""БАНК ""ПОРТАЛ""","39,458","214,866","50,163","179,314","339,116"
"АТ ""БАНК ТРАСТ-КАПІТАЛ""","13,524","239,853","34,161","72,145","299,718"
"АТ ""АЛЬПАРІ БАНК""","27,139","213,495","46,207","49,700","270,195"
"АТ ""Український банк реконструкції та розвитку""","18,169","197,185","9,391","0","244,543"
"Банки з державною часткою","","","","",""
